;TrV;Benämning;Definition;Synonym
Konstruktiva system;AM;Ljusbrunnskonstruktion;byggkonstruktion som skapar ett utökat utrymme för ljustransmission;
Konstruktiva system;B;Bärverk;konstruktivt system  som har bärande eller stabiliserande funktion;
Konstruktiva system;BA;Terrasskonstruktion;bärande konstruktion av bearbetad mark;
Konstruktiva system;BB;Grundstomme;bärverk som förbinder ett byggnadsverk med terrassen;
Konstruktiva system;BBB;Grundplatta;grundstomme i form av ett styvt liggande plan;Platta på mark
Konstruktiva system;BBC;Grundmur;grundstomme i form av ett stående plan;
Konstruktiva system;BBD;Plintgrund;grundstomme i form av  vertikalt långsträckta objekt;
Konstruktiva system;BBE;Rustbädd;grundstomme i form av ett flexibelt liggande plan;
Konstruktiva system;BC;Bjälklagsstomme;bärverk i en horisontell avskiljare;Brobanestomme, bryggstomme
Konstruktiva system;BCB;Bjälklagsskiva;bjälklagsstomme i form av ett liggande plan;massivplatta, håldäck, plattbjälklag, plattbro, plattbärlag, plattrambro, trågbalkbro
Konstruktiva system;BCC;Bjälklagsstomme av balkar;bjälklagsstomme i form av långsträckta objekt;Balkbjälklag, balkrambro, balkbro
Konstruktiva system;BCD;Bjälklagsstomme av fackverk;bjälklagsstomme i form av förenade och samverkande stänger;Bågbro, fackverksbro, hängbro, snedkabelbro
Konstruktiva system;BCE;Bjälklagsstomme av sandwichkonstruktion;bjälklagsstomme i form av flera skikt;
Konstruktiva system;BCF;Murad bjälklagsstomme;bjälklagsstomme i form av block;Valvbro
Konstruktiva system;BD;Väggstomme;bärverk i en vertikal avskiljare;
Konstruktiva system;BDB;Väggskiva;väggstomme i form av ett stående plan;Stödmursstomme, dammväggsstomme, kajväggsstomme, pirväggsstomme, rörbrostomme, spont
Konstruktiva system;BDC;Pelarväggstomme;väggstomme i form av långsträckta objekt;
Konstruktiva system;BDD;Fackverksväggstomme;väggstomme i form av förenade och samverkande stänger;Regelväggstomme
Konstruktiva system;BDE;Sandwichväggstomme;väggstomme i form av flera skikt;
Konstruktiva system;BDF;Murad väggstomme;väggstomme i form av block;
Konstruktiva system;BE;Yttertakstomme;bärverk i en yttertakskonstruktion;Ytterbjälklagsstomme
Konstruktiva system;BEB;Solid yttertaksstomme;yttertakstomme i form av ett solitt skikt;Solid ytterbjälklagsstomme
Konstruktiva system;BEC;Yttertaksstomme av balkar;yttertakstomme i form av långsträckta objekt;Ytterbjälklagsstomme av balkar
Konstruktiva system;BED;Yttertaksstomme av fackverk;yttertakstomme i form av förenade och samverkande stänger;Ytterbjälklagsstomme av fackverk, membrantak, segeldukstak, takstolsstomme
Konstruktiva system;BEE;Yttertaksstomme av sandwichkonstruktion;yttertakstomme i form av flera skikt;Ytterbjälklagsstomme av sandwichkonstruktion
Konstruktiva system;BEF;Murad yttertakstomme;yttertakstomme i form av block;valvtak
Konstruktiva system;BF;Undergolvstomme;bärverk i en undergolvskonstruktion;Installationsgolv
Konstruktiva system;BG;Undertakstomme;bärverk i en undertakskonstruktion;
Konstruktiva system;BH;Kanalisation;bärverk som stödjer eller bär upp försörjnings- eller distributionssystem;Kabelstegar, kabelbrunnar, kabelrännor, kabelskydd, kontaktledningsstolpar, kraftverksstolpar, portaler, rörbryggor, rörkulvertar, skyddsrör, stolpar
Konstruktiva system;BHB;Öppen kanalisation;kanalisation inomhus, synlig;
Konstruktiva system;BHC;Dold kanalisation;kanalisation inomhus, dold;
Konstruktiva system;BHD;Kanalisation i luft utomhus;kanalisation utomhus i luft;
Konstruktiva system;BHE;Kanalisation i mark;kanalisation utomhus i mark;
Konstruktiva system;BJ;Pelar-balkstomme;bärverk av förenade och samverkande stänger för väggar och bjälklag;
Konstruktiva system;BL;Brounderbyggnad;bärverk under broöverbyggnad;Bryggunderbyggnad
Konstruktiva system;BLB;Ändstöd;brounderbyggnad i broände;landfäste
Konstruktiva system;BLC;Mellanstöd;brounderbyggnad mellan broändar;skivstöd, pelarstöd, enpelarstöd, flerpelarstöd
Konstruktiva system;BM;Bärande huvudsystem i tunnel;bärverk i utgrävning för tunnel och bergrum;
Konstruktiva system;BMB;Bergförstärkning;bärande huvudsystem i berg genom punktvis förstärkning;
Konstruktiva system;BMC;Betonglining;bärande huvudsystem i berg genom fast inklädnad;
Konstruktiva system;BN;Trågkonstruktion;bärverk i tätande konstruktion vid tunnelmynning;
Konstruktiva system;BP;Tunnelportalskonstruktion;bärverk runt öppning i tunnel;
Konstruktiva system;C;Markkonstruktion;konstruktivt system som formar mark;
Konstruktiva system;CA;Terrasskonstruktion;markkonstruktion som ger stöd till andra konstruktioner;Undergrund, underbyggnad
Konstruktiva system;CAB;Förstärkt terrass;terrasskonstruktion genom förstärkning av jord- eller bergmassa;
Konstruktiva system;CAC;Pålad terrass;terrasskonstruktion genom pålning;
Konstruktiva system;CB;Överbyggnad för väg och plan;markkonstruktion för hårdgjort utrymme utomhus;Hårdgjord yta
Konstruktiva system;CBB;Flexibel hårdgjord överbyggnad;"överbyggnad för trafikeringsområde utan hydrauliskt bundet
lager";
Konstruktiva system;CBC;Styv hårdgjord överbyggnad;"överbyggnad för trafikeringsområde med minst ett hydrauliskt bundet
lager";
Konstruktiva system;CC;Banunderbyggnad;markkonstruktion som utgör underlag för banöverbyggnad;
Konstruktiva system;CCB;Banunderbyggnad på banvall;banunderbyggnad på egen fyllning;
Konstruktiva system;CCC;Banunderbyggnad i gata;banunderbyggnad i vägöverbyggnad;
Konstruktiva system;CCD;Banunderbyggnad i tunnel;banunderbyggnad i bergtunnel;
Konstruktiva system;CCE;Banunderbyggnad på bro;banunderbyggnad i på brobjälklag;
Konstruktiva system;CD;Överbyggnad för vegetationsyta;markkonstruktion för plantering;Växtbädd
Konstruktiva system;CDB;Mjuk växtbädd;överbyggnad för vegetationsyta, ej trafikerbar ;
Konstruktiva system;CDC;Hård växtbädd;överbyggnad för vegetationsyta, trafikerbar ;Skelettjord
Konstruktiva system;CDD;Växtbädd för infiltration;överbyggnad för vegetationsyta för omhändertagande av dagvatten;
Konstruktiva system;CDE;Trädgrop;överbyggnad för vegetationsyta med ramkonstruktion under mark;
Konstruktiva system;CDF;Planteringslåda;överbyggnad för vegetationsyta med ramkonstruktion över mark;
Konstruktiva system;CE;Vattenbyggnadskonstruktion;markkonstruktion för hantering av vatten;
Konstruktiva system;CEB;Flexibel konstruktion för öppen vattenhantering;flexibel vattenbyggnadskonstruktion som leder eller lagrar öppet vatten;Amfibiedamm, plaskdamm, prydnadsdamm, vattenmagasin
Konstruktiva system;CEC;Styv konstruktion för öppen vattenhantering;styv vattenbyggnadskonstruktion som leder eller lagrar öppet vatten;Bassäng, fontän, pool
Konstruktiva system;CED;Konstruktion för infiltration;vattenbyggnadskonstruktion som leder vatten in i mark;Markbädd
Konstruktiva system;CEE;Konstruktion för tätning och vattenavledning;vattenbyggnadskonstruktion för tätning mot och avledning av vatten i mark;Hydrauliskt tätande konstruktion tunneltätningskonstruktion, tätspont
Konstruktiva system;CEF;Konstruktion för vattentunnel;vattenbyggnadskonstruktion för ledning av vatten under mark;Tilloppstunnel
Konstruktiva system;CF;Ledningsförläggning;markkonstruktion för mediatekniskt system;Ledningsgrav
Konstruktiva system;CFB;Schaktad ledningsförläggning;ledningsförläggning i schaktat utrymme;
Konstruktiva system;CFC;Schaktfri ledningsförläggning;ledningsförläggning utan schaktning;
Konstruktiva system;D;Banöverbyggnad;konstruktivt system som leder spårbundna fordon;Spårkonstruktion
Konstruktiva system;DA;Spårkonstruktion;banöverbyggnad med två räler;
Konstruktiva system;DAB;Ballasterad spårkonstruktion;spårsystem på icke bundet underlag;
Konstruktiva system;DAC;Ballastfri spårkonstruktion;spårsystem på bundet underlag;
Konstruktiva system;DB;Spårväxelkonstruktion;banöverbyggnad för dirigering;
Konstruktiva system;DBB;Ballasterad spårväxelkonstruktion;spårväxelsystem på icke bundet underlag;
Konstruktiva system;DBC;Ballastfri spårväxelkonstruktion;spårväxelsystem på bundet underlag;
Konstruktiva system;DC;Spårkorsningskonstruktion;banöverbyggnad för fast intersektion;
Konstruktiva system;DCB;Ballasterad spårkorsningskonstruktion;spårkorsning på icke bundet underlag;
Konstruktiva system;DCC;Ballastfri spårkorsningskonstruktion;spårkorsning på bundet underlag;
Konstruktiva system;DD;Dilatationsanordning;banöverbyggnad för flexibel anslutning mellan mark och bro;
Konstruktiva system;DDB;Ballasterad dilatationsanordning;dilatationsanordning på icke bundet underlag;
Konstruktiva system;DDC;Ballastfri dilatationsanordning;dilatationsanordning på bundet underlag;
Konstruktiva system;DE;Monorail;banöverbyggnad med en skena;
Konstruktiva system;H;Försörjande system;konstruktivt system som försörjer konsumtion;
Konstruktiva system;HA;Gas- och luftförsörjningssystem;försörjande system för gas eller teknisk luft;
Konstruktiva system;HB;Vätskeförsörjningssystem;försörjande system för vätska;
Konstruktiva system;HC;Kylförsörjningssystem;försörjande system för kyla;Kylaggregat, Kylmaskin, Fjärrkylanläggning
Konstruktiva system;HD;Värmeförsörjningssystem;försörjande system för värme;Värmevattenförsörjning, Fjärrvärmeverk, Solfångare
Konstruktiva system;HE;Kombinerad kyl- och värmeförsörjningssystem;försörjande system för kombinerad kyla och värme;Värmepump, Direktexpansion, DX-system
Konstruktiva system;HEB;Direktexpansionssystem;kombinerad kyl- och värmeförsörjningssystem med direkt verkande evaporator;
Konstruktiva system;HEC;Vätskesystem i kyl- och värmepumpsystem;kombinerad kyl- och värmeförsörjningssystem med indirekt verkande evaporator;
Konstruktiva system;HF;Ventilationsförsörjningssystem;försörjande system för mekaniskt luftflöde;
Konstruktiva system;HG;Elkraftförsörjningssystem;försörjande system för elkraft;
Konstruktiva system;HGB;Högspänningsförsörjningsystem;elkraftförsörjningssystem för ≥ 1 kV AC eller ≥ 1,5 kV DC;
Konstruktiva system;HGC;Mellanspänningsförsörjningssystem;elkraftförsörjningssystem för 1 kV - 50 kV;
Konstruktiva system;HGD;Lågspänningsförsörjningssystem;elkraftförsörjningssystem för < 1 kV AC eller < 1,5 kV DC;
Konstruktiva system;HGE;Klenspänningsförsörjningssystem;elkraftförsörjningssystem för ≤ 50 V eller ≤ 120 V DC;
Konstruktiva system;HH;Belysningsförsörjningssystem;försörjande system för belysning;
Konstruktiva system;HHB;Elektriskt belysningsförsörjningssystem;belysningsförsörjningssystem med elektriska ljuskällor;
Konstruktiva system;HHC;Dagsljusförsörjningssystem;belysningsförsörjningssystem med dagsljuskällor;
Konstruktiva system;HHD;Gasljusförsörjningssystem;belysningsförsörjningssystem med gasljuskällor;
Konstruktiva system;HHE;Vätskeljusförsörjningssystem;belysningsförsörjningssystem med vätskeljuskällor;fotogenljus
Konstruktiva system;HJ;Signalförsörjningssystem;försörjande system för signaler;Detektorer
Konstruktiva system;HJB;Upptagetmarkeringssystem;signalförsörjningssystem för upptagetmarkering;
Konstruktiva system;J;Transporterande system;konstruktivt system som för något från en plats till en annan;
Konstruktiva system;JA;Gasdistributionssystem;transporterande system för gas;
Konstruktiva system;;;;
Konstruktiva system;JB;Vattendistributionssystem;transporterande system för vatten;
Konstruktiva system;JBB;Icke cirkulerande vattendistributionssystem;vattendistributionssystem med icke cirkulerande flöde;
Konstruktiva system;JBC;Cirkulerande vattendistributionssystem;vattendistributionssystem med cirkulerande flöde;
Konstruktiva system;JBD;Tomrörssystem;vattendistributionssystem för tillfälligt bruk;brandsläckningsledning
Konstruktiva system;JC;Kemikaliedistributionssystem;transporterande system för brandfarliga vätskor och andra kemikalier;
Konstruktiva system;JD;Avloppssystem;transporterande system för avloppsvatten;
Konstruktiva system;JDB;Avloppssystem med självfall;avloppssystem med ej trycksatt flöde;
Konstruktiva system;JDC;Trycksatt avloppssystem;avloppssystem med trycksatt flöde;
Konstruktiva system;JE;Avfallstransportsystem;transporterande system för avfall;
Konstruktiva system;;;;
Konstruktiva system;JEB;Sugsystem för avfall;avfallshanteringssystem genom undertrycksatta ledningar;sopsug
Konstruktiva system;JEC;Störtsystem för avfall;avfallshanteringssystem genom gravitation;sopnedkast
Konstruktiva system;JED;Mekaniskt transportsystem för avfall;avfallshanteringssystem genom mekanisk transport;
Konstruktiva system;JF;Kyldistributionssystem;transporterande system för kyla;
Konstruktiva system;JFB;Primärt kyldistributionssystem;kyldistributionssystem före värmeväxling;
Konstruktiva system;JFC;Sekundärt kyldistributionssystem;kyldistributionssystem efter värmeväxling;
Konstruktiva system;JG;Värmedistributionssystem;transporterande system för värme;Shuntgrupp
Konstruktiva system;JGB;Primärt distributionssystem för värmevatten;vattenburet värmedistributionssystem från produktion till förbindelsepunkt för abonnent;Fjärrvärmenät, värme primär
Konstruktiva system;JGC;Sekundärt distributionssystem för värmevatten;vattenburet värmedistributionssystem från förbindelsepunkt för abonnent till konsumtion;Värmevattenslingor, vattenradiatorsystem
Konstruktiva system;JGD;Elvärmesystem för utrymme inomhus;elektriskt värmedistributionssystem för slutet utrymme;Elvärmeslingor
Konstruktiva system;JGE;Elvärmesystem för utrustning;elektriskt värmedistributionssystem för utrustning;Elvärmesystem i spåranläggning, strömskenevärmeanläggning, växelvärmeanläggning
Konstruktiva system;JGF;Elvärmesystem för mark;elektriskt värmedistributionssystem i marköverbyggnad;
Konstruktiva system;JGG;Distributionssystem för luftvärme;luftburet värmedistributionssystem;
Konstruktiva system;JGH;Distributionssystem för ångvärme;ångburet värmedistributionssystem;
Konstruktiva system;JGJ;Distributionssystem för hetoljevärme;oljeburet värmedistributionssystem;
Konstruktiva system;JGK;Värmeåtervinningssystem;värmedistributionssystem för återvinning;
Konstruktiva system;JH;Kombinerat kyl- och värmedistributionssystem;transporterande system för kyla och värme;
Konstruktiva system;JJ;Luftdistributionssystem;transporterande system för luft;
Konstruktiva system;JJB;Tilluftssystem;ventilationssystem som tillför behandlad uteluft eller cirkulationsluft;
Konstruktiva system;JJC;Frånluftssystem;ventilationssystem som leder bort och använd luft;
Konstruktiva system;JJD;Återluftssystem;ventilationssystem som återför frånluft till en grupp av rum;
Konstruktiva system;JJE;Impulsfläktssystem;ventilationssystem utan kanaler;
Konstruktiva system;JJF;Uteluftssystem;ventilationssystem som leder uteluft till behandling;
Konstruktiva system;JJG;Avluftssystem;ventilationssystem som leder frånluft efter behandling till det fria;
Konstruktiva system;JJH;Efterbehandlingssystem;ventilationssystem som behandlar tilluft;
Konstruktiva system;JJJ;Ersättningsluftssystem;ventilationssystem som ersätter förorenad luft med uteluft;
Konstruktiva system;JK;Elkraftdistributionssystem;transporterande system för elektrisk energi;
Konstruktiva system;JKB;Elkraftdistributionssystem för högspänning;elkraftdistributionssystem för ≥ 1 kV AC eller ≥ 1,5 kV DC;
Konstruktiva system;JKC;Elkraftdistributionssystem för mellanspänning;elkraftdistributionssystem för 1 kV - 50 kV;
Konstruktiva system;JKD;Elkraftdistributionssystem för lågspänning;elkraftdistributionssystem för < 1 kV AC eller < 1,5 kV DC;
Konstruktiva system;JKE;Elkraftdistributionssystem för klenspänning;elkraftdistributionssystem för ≤ 50 V eller ≤ 120 V DC;
Konstruktiva system;JL;Signaldistributionssystem;transporterande system för signaler;
Konstruktiva system;JLB;Trådat elektromagnetiskt signaldistributionssystem;trådburet elektromagnetiskt signaldistributionssystem;Datornätverk, telefonsystem, hjälptelefonsystem, nödtelefonsystem, personsökningssystem, upptagetmarkering, bokningssystem, kösignalsystem, hörslinga, snabbtelefon
Konstruktiva system;JLC;Trådat optiskt signaldistributionssystem;trådburet optiskt signaldistributionssystem;Fibernät
Konstruktiva system;JLD;Trådlöst signaldistributionssystem;radiovågsburet signaldistributionssystem;Mobiltelefonsystem, personsökningssystem
Konstruktiva system;JLE;Induktivt signaldistributionssystem;signaldistributionssystem med induktiv överföring;Hörslinga
Konstruktiva system;JM;Person- och godstransportsystem;transporterande system för personer och/eller gods;Transport
Konstruktiva system;JMB;Hissystem;person- och godstransportsystem för vertikal rörelse i behållare;Möbelhiss, Personhiss, Rullstolshiss, Smalhiss, Småvaruhiss, Sänghiss, Tillsynshiss, Trapphiss, Varuhiss, Varupersonhiss
Konstruktiva system;JMC;Rulltrappssystem;persontransportsystem för diagonal rörelse med trappsteg;
Konstruktiva system;JMD;Rullrampsystem;person- och godstransportsystem för personer i horisontell eller diagonal rörelse;Rullbandssystem
Konstruktiva system;JME;Rullbanesystem;person- och godstransportsystem för gods i horisontell eller diagonal rörelse;Bagageanläggning
Konstruktiva system;JMF;Linbanesystem;person- och godstransportsystem för linburen horisontell eller diagonal rörelse i behållare;
Konstruktiva system;JMG;Lyftsystem;person- och godstransportsystem för vertikal och horisontellr örelse;Telfer, Travers
Konstruktiva system;JMH;Rörpostsystem;person- och godstransportsystem för rörelse i behållare i rör;
Konstruktiva system;JMJ;AGV-system;person- och godstransportsystem med automatiskt styrda fordon;Automated Guided Vehicles
Konstruktiva system;JP;Ljusdistributionssystem;transporterande system för ljus;Fiberoptik, dagsljusdistribution
Konstruktiva system;K;Behandlande system;konstruktivt system som behandlar något;
Konstruktiva system;KA;Klimatavskärmande system;behandlande system som begränsar eller utestänger klimatpåverkan;Solavskärmning, snöskydd, vindskydd, regnskydd, bullerskydd
Konstruktiva system;KAB;Passivt klimatskyddande system;;
Konstruktiva system;KAC;Aktivt klimatskyddande system;;
Konstruktiva system;KB;Öppningskontrollerande system;behandlande system för automatisk kontroll av öppningar;Brandgasventilation, rökgasventilation, rökluckor, självdragsventilation
Konstruktiva system;KBB;Rökgasevakueringsssystem;öppningskontrollerande system för ventilation av gaser orsakade av förbränning eller pyrolys;Brandgasventilationssystem, rökgasventilation
Konstruktiva system;KBC;Självdragssystem;öppningskontrollerande system för icke mekanisk ventilation;
Konstruktiva system;KC;Renande system;behandlande system för rening av vätske- eller luftflöde;
Konstruktiva system;KCB;Mekaniskt reningssystem;renande system genom mekaniska processer;
Konstruktiva system;KCC;Kemiskt reningssystem;renande system genom kemiska och biologiska processer;Biologiskt reningssystem
Konstruktiva system;KD;Separerande system;behandlande system för separation av ämnen;
Konstruktiva system;KDB;Mekaniskt separerande system;separerande system genom mekaniska processer;
Konstruktiva system;KDC;Kemiskt separerande system;separerande system genom kemiska och biologiska processer;
Konstruktiva system;KE;Blandande system;behandlande system för tillsats av ämnen;
Konstruktiva system;KF;Pumpsystem;behandlande system för tryckökning i ett vätskeflöde;
Konstruktiva system;KG;Tryck- och expansionssystem;behandlande system för stabilisering av tryck och volym i vätska eller i luftflöde;
Konstruktiva system;KH;Transformeringssystem;behandlande system som transformerar elektrisk energi;
Konstruktiva system;KHB;Spänningstransformeringssystem;transformeringssystem som förändrar nivåer av spänning och ström;
Konstruktiva system;KHC;Faskompenseringssystem;transformeringssystem som minskar fasskillnaden mellan spänning och ström;
Konstruktiva system;KHD;Frekvensomriktningssystem;transformeringssystem som förändrar frekvensen hos en växelspänning;
Konstruktiva system;KHE;Likriktningssystem;transformeringssystem som omvandlar växelström till likström;
Konstruktiva system;KHF;Växelriktningssystem;transformeringssystem som omvandlar likström till växelström;
Konstruktiva system;KJ;Antennsystem;behandlande system för dubbelriktad transformering mellan radiovågor och elektriska signaler;
Konstruktiva system;KJB;Sändarantennsystem;antennsystem för transformering av elektriska signaler till radiovågor;
Konstruktiva system;KJC;Mottagarantennsystem;antennsystem för transformering av radiovågor till elektriska signaler;
Konstruktiva system;KL;Tillträdeskontrollsystem;behandlande system som fysiskt separerar personflöden;
Konstruktiva system;KM;Drivsystem;behandlande system som tillhandhåller mekanisk rörelse eller kraft;
Konstruktiva system;KMB;Direktdriftssystem;drivsystem med direktansluten motor;
Konstruktiva system;KMC;Lindriftssystem;drivsystem med linansluten motor;
Konstruktiva system;KMD;Hydrauldriftssystem;drivsystem med hydraulansluten motor;
Konstruktiva system;KME;Skruvdriftssystem;drivsystem med skruvansluten motor;
Konstruktiva system;KMF;Kedjedriftssystem;drivsystem med kedjeansluten motor;
Konstruktiva system;KMG;Kuggstångsdriftssystem;drivsystem med kuggstångsansluten motor;
Konstruktiva system;KMH;Remdriftssystem;drivsystem med remansluten motor;
Konstruktiva system;KN;Bromssystem;behandlande system genom hastighetsreducering och stoppande;
Konstruktiva system;KNB;Mekaniskt bromssystem;bromssystem genom friktion;
Konstruktiva system;KNC;Elektriskt bromssystem;bromssystem genom elektriskt motstånd?;
Konstruktiva system;KND;Motströmsbromssystem;bromssystem genom ändring av rotationsriktning hos elmotor;
Konstruktiva system;KNE;Likströmsbromssystem;bromssystem genom matning med likström;
Konstruktiva system;L;Övervakande, styrande och reglerande system;konstruktivt system för manuell eller automatiserad avkänning och/eller påverkan på processer och händelser;
Konstruktiva system;LA;Gaslarmsystem;övervakande system som larmar i händelse av gasutsläpp;
Konstruktiva system;LB;Brandlarmsystem;övervakande system som larmar i händelse av brand;
Konstruktiva system;LC;Integrerat automationssystem;övervakande, styrande och reglerande system för en eller flera processer i en central enhet;
Konstruktiva system;LD;Entré- och passerkontroll;övervakande, styrande och reglerande system för auktoriserat tillträde;Skalskydd
Konstruktiva system;LE;Larmsystem;övervakande system som larmar i händelse av farligt eller oönskat tillstånd;
Konstruktiva system;LEB;Felsignaleringssystem;larmsystem för bristande funktion;Driftlarm
Konstruktiva system;LEC;Vätskelarm;larmsystem för vätskenivå;
Konstruktiva system;LED;Passagelarm;larmsystem för obehörig in- eller utpassage;Inbrottslarm, utbrytningslarm, områdeslarm, stängsellarm
Konstruktiva system;LEE;Utrymningslarm;larmsystem för akut behov att utrymma;brandlarm
Konstruktiva system;LEF;Varularm;larmsystem för tillgrepp av varor;
Konstruktiva system;LEG;Larm för spårtrafik;larmsystem för spårtrafik;
Konstruktiva system;LF;Fjärrövervakningssystem;övervakande system som tillhandahåller fjärravläst data;
Konstruktiva system;LFB;Kameraövervakningssystem;fjärrövervakningssystem med bildregistrering;
Konstruktiva system;LFC;Radarövervakningssystem;fjärrövervakningssystem med med radarutrustning;
Konstruktiva system;LFD;Ljudövervakningssystem;fjärrövervakningssystem med ljudregistrering;
Konstruktiva system;LFE;Detekterande övervakningssystem;fjärrövervakningssystem med händelsedetektor;
Konstruktiva system;LFF;Viktövervakningssystem;fjärrövervakningssystem med viktsensor;
Konstruktiva system;LFZ;Kombinerat övervakningssystem;detekterande övervakningssystem med multipla metoder;
Konstruktiva system;LG;Betalsystem;övervakande, styrande och reglerande system för finansiell transaktion;
Konstruktiva system;LGB;Automatiskt betalsystem;betalsystem med automatisk registrering;Trängselskattsystem
Konstruktiva system;LGC;Manuellt betalsystem;betalsystem med manuell registrering;Biljettsystem, pollettsystem
Konstruktiva system;LGD;Betal- och passagesystem;betalsystem integrerat med tillträdesfunktion;Biljettspärr
Konstruktiva system;LH;Trafikavstängningar;övervakande, styrande och reglerande system för avstängning av trafik ;vägskydd, plankorsningsanordning
Konstruktiva system;LHB;Manuella avstängningsanordningar;trafikavstängningssystem med manuella anordningar;
Konstruktiva system;LHC;Fjärrstyrda avstängningsanordningar;trafikavstängningssystem med fjärrstyrda anordningar;
Konstruktiva system;LHD;Autonoma avstängningsanordningar;trafikavstängningssystem med autonoma anordningar;
Konstruktiva system;LJ;Miljö- och väderövervakningssystem;övervakande system för miljö och väder ;
Konstruktiva system;LJB;MET-system;miljö- och väderövervakningssystem för flygtrafiktjänst;
Konstruktiva system;M;Informerande system;konstruktivt system för presentation av information;
Konstruktiva system;MA;Varningssystem;informerande system som producerar fast bestämd signal eller röstmeddelande som varning för farliga eller oönskade förhållanden;
Konstruktiva system;MAB;Varningssystem med ljud- eller ljussignal;varningssystem med ljus och/eller ljussignal;
Konstruktiva system;MAC;Varningssystem med inspelad signal;varningssystem med inspelat ljudmeddelande;
Konstruktiva system;MB;Ljud- och bildsystem;informerande system som producerar för ljud och/eller bild;
Konstruktiva system;MBB;Integrerat ljud- och bildsystem;integrerat ljud- och bildsystem;Konferenssystem
Konstruktiva system;MBC;Ljudsystem;ljudsystem;Meddelandesystem, PA-system
Konstruktiva system;MBD;Bildvisningssystem;bildsystem;Informationssystem
Konstruktiva system;MC;Trafikkontrollsystem;informerande system som styr trafik;
Konstruktiva system;MCB;System med fasta ljussignaler;trafikkontrollsystem med fasta ljussignaler;
Konstruktiva system;MCC;System med variabla ljussignaler;trafikkontrollsystem med variabla ljussignaler;VMS-skyltsystem, FIVÖ-system
Konstruktiva system;MCD;System med ljudsignaler;trafikkontrollsystem med ljudsignaler;
Konstruktiva system;MCE;ATS-system;trafikkontrollsystem för flygledning;
Konstruktiva system;MCF;CNS-system;trafikkontrollsystem för kommunikation, navigation och radarövervakning för flygtrafik;
Konstruktiva system;MCG;DAT-system;trafikkontrollsystem för datautbyte mellan markutrustning och flygplan;
Konstruktiva system;MCH;ATIS-system;trafikkontrollsystem för automatisk information om flygplatsförhållanden;
Konstruktiva system;MD;Tidsignalsystem;informerande system för tid;
Konstruktiva system;MDA;Tidsignalsystem med urtavlor;tidsignalsystem med urtavla;
Konstruktiva system;ME;Skyltsystem;informerande system i skriftlig eller symbolisk form;
Konstruktiva system;MEB;Fast skyltsystem;skyltsystem med fasta skyltar;
Konstruktiva system;MEC;Dynamiskt skyltsystem;skyltsystem med variabla skyltar;
Konstruktiva system;P;Skyddande system;konstruktivt system som aktivt skyddar mot fara eller oönskat tillstånd;
Konstruktiva system;PA;Brandskyddssystem;skyddande system som öppnar eller stänger dörrar och fönster vid brand;
Konstruktiva system;PB;Brandsläckningssystem;skyddande system mot brand genom släckning;
Konstruktiva system;PBB;Brandvattensystem;brandsläckningssystem med släckvatten;Brandpostsystem, släckvattensystem
Konstruktiva system;PBC;Gassläcksystem;brandsläckningssystem med inert gas;Brandsläckning med inert gas
Konstruktiva system;PBD;Skumsläckningssystem;brandsläckningssystem med skum;
Konstruktiva system;PBE;Dimsläcksystem;brandsläckningssystem med vattendimma;
Konstruktiva system;PBF;Pulversläcksystem;brandsläckningssystem med pulver;
Konstruktiva system;PC;Jordningssystem;skyddande system mot farliga elströmmar genom jordning av elektriska system;
Konstruktiva system;PCB;Potentialutjämningssystem;jordningssystem för utjämning av potential mellan elektriskt ledande delar;
Konstruktiva system;PD;Överspänningsskyddssystem;skyddande system mot elektrisk överspänning;
Konstruktiva system;PDB;Åskskyddssystem;jordningssystem för blixtnedslag;
Konstruktiva system;PE;Katodiskt korrosionsskyddssystem;skyddande system för metall mot korrosion;
Konstruktiva system;PF;Personskyddssystem;skyddande system mot personskada;
Konstruktiva system;PFB;Nödduschsystem;personskyddande system för nöddusch;akutdusch
Konstruktiva system;PFC;Ögontvättsystem;personskyddande system för ögontvätt;
Konstruktiva system;Q;Lagringssystem;konstruktivt system som lagrar information, energi eller materia;
Konstruktiva system;QA;Datalagringssystem;lagringssystem för data;
Konstruktiva system;QB;Gas- och luftlagringssystem;lagringssystem för gas och luft;
Konstruktiva system;QC;Vätskelagringssystem;lagringssystem för vätska;
Konstruktiva system;QD;Energilagringssystem;lagringssystem för energi;
Konstruktiva system;R;Kompletterande system;konstruktivt system som utrustar utrymmen eller byggdelar i ett byggnadsverk;Kompletteringar
Konstruktiva system;RA;Plantering;kompletterande system i form av växter;
Konstruktiva system;RB;Möblering och inredning;kompletterande system i form av anordningar och föremål placerade i ett utrymme för att möjliggöra en verksamhet men som inte används aktivt  för materialbearbetning, energiomvandling eller transport;Anläggningskomplettering
Konstruktiva system;RC;Utrustning;kompletterande system i form av anordningar och föremål som behövs för en viss tillämpning eller verksamhet och som används aktivt;
Komponenter;B;Avkännande objekt;objekt för att plocka upp information och avge en representation;
Komponenter;BA;Elektrisk potentialavkännande objekt;avkännande objekt för elektrisk potential;
Komponenter;BAA;Spänningsdetektor;elektrisk potentialavkännande objekt, med Booleskt utvärde;
Komponenter;BAB;Spänningssensor;elektrisk potentialavkännande objekt, med skalärt utvärde;
Komponenter;BB;Motståndsavkännande objekt;avkännande objekt för motstånd;
