;TrV;Benämning;Definition;Synonym
Komponenter;RUB;Bom;tillträdesbegränsande objekt genom en horisontell bom;vägspärr
Komponenter;RUC;Vändkors;tillträdesbegränsande objekt genom en roterande barriär;karuselldörr
Komponenter;RUD;Pollare;tillträdesbegränsande objekt genom en barriär med begränsad horisontell och vertikal utsträckning;hinderpåle
Komponenter;RUE;Väghinder;tillträdesbegränsande objekt genom utformning av rörelseväg;färist, råttspärr
Komponenter;RUF;Fågelnät;tillträdesbegränsande objekt genom ett nät;
Komponenter;S;Manuellt interagerande objekt;objekt för detektering av en manuell handling och tillhandahållande av lämplig respons;
Komponenter;SF;Ögonmanöverdon;manuellt interagerande objekt genom ögonfokusering;
Komponenter;SFA;Ögonavläsare;ögonmanöverdon för positionering;
Komponenter;SG;Handmanöverdon;manuellt interagerande objekt för handaktion;
Komponenter;SGA;Vridställdon;handmanöverdon genom vridning;fönstervred, låsvred, vred
Komponenter;SGB;Greppställdon;handmanöverdon genom handgrepp;
Komponenter;SGC;Handflateställdon;handmanöverdon genom tryckning;nödstoppsknapp
Komponenter;SGD;Handtag;handmanöverdon genom hävstångsoperation;växelställ
Komponenter;SGE;Dragställdon;handmanöverdon genom dragning;dragsnöre
Komponenter;SGF;Nyckelställdon;handmanöverdon genom vridning av en matchande låscylinder eller låsmekanism;nyckeldon
Komponenter;SH;Fotmanöverdon;manuellt interagerande objekt för fotrörelse;
Komponenter;SHA;Pedal;fotmanöverdon genom fottryck;trampkontakt
Komponenter;SJ;Fingermanöverdon;manuellt interagerande objekt genom fingerrörelse;
Komponenter;SJA;Vippställdon;fingermanöverdon genom hävstångsoperation;vippdon
Komponenter;SJB;Tryckställdon;fingermanöverdon genom tryckning;branddörrstängningsknapp, bråklarmsknapp, larmknapp, larmtryckknapp, tangentbord, tryckdon, tryckknapp, överfallslarmsknapp
Komponenter;SJC;Touchdon;fingermanöverdon genom vidröring;pekdon, pekskärm
Komponenter;SJD;Fingerskiva;fingermanöverdon genom vridning av skiva;
Komponenter;SK;Rörelsedon;manuellt interagerande objekt genom dess rörelse eller position;
Komponenter;SKA;Joystick;rörelsedon genom begränsade positionerings- och valoperationer;pekplatta, rullmus
Komponenter;SKB;Datormus;rörelsedon genom obegränsade positionerings- och valoperationer;ljuspenna, mus
Komponenter;T;Transformerande objekt;objekt för transformering;
Komponenter;TA;Eltransformerande objekt;transformerande objekt för elektrisk energi utan att ändra mellan likspänning och växelspänning;
Komponenter;TAA;Transformator;eltransformerande objekt från AC till AC utan ändring av frekvensen;autotransformator, drivdon, isolertransformator, krafttransformator, mättransformator, oljeisolerad distributionstransformator, skyddstransformator, spänningstransformator, strömtransformator, störskyddstransformator, sugtransformator, torrisolerad distributionstransformator, torrisolerad transformator, vridtransformator, vätskeisolerad transformator
Komponenter;TAB;Likströmsomvandlare;eltransformerande objekt från DC till DC;
Komponenter;TAC;Frekvensomvandlare;eltransformerande objekt från AC till AC med ändring av frekvensen;
Komponenter;TAD;Fasomvandlare;eltransformerande objekt från AC till AC med förändring av vinkeln mellan spänning och strömstyrka;frekvensomriktare
Komponenter;TB;Elkonverterande objekt;transformerande objekt för elektrisk energi mellan likspänning och växelspänning;
Komponenter;TBA;Likriktare;elkonverterande objekt från AC till DC;laddare
Komponenter;TBB;Växelriktare;elkonverterande objekt från DC till AC;
Komponenter;TBC;Dubbelriktad konverterare;elkonverterande objekt från AC till DC eller från DC till AC;konverter
